Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.11,0,-6.86274e-05,-0.000258546,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000337209,0.00538711,-2.1816,-0.330152,-0.590037,5.98921,924.389,0,0,0
0.111,0,-6.88665e-05,-0.000239056,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000342398,0.00518918,-2.10286,-0.32317,-0.551922,6.03541,924.007,0,0,0
0.112,0,-6.9086e-05,-0.000219508,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000347457,0.00505851,-2.051,-0.311369,-0.541929,6.06715,923.472,0,0,0
0.113,0,-6.92858e-05,-0.000199813,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000352406,0.00494885,-2.00754,-0.280028,-0.285147,6.10991,922.777,0,0,0
0.114,0,-6.94659e-05,-0.000180063,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000357212,0.0048062,-1.95086,-0.252664,0.0278127,6.14462,921.924,0,0,0
0.115,0,-6.96262e-05,-0.000160384,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000361838,0.00462638,-1.87931,-0.248233,0.320565,6.17031,920.907,0,0,0
0.116,0,-6.97669e-05,-0.00014066,0,0,-1.07105e-12,-1.07105e-09,0,0,0.0003663,0.00446177,-1.81383,-0.217028,0.50724,6.19692,919.723,0,0,0
0.117,0,-6.9888e-05,-0.000121084,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000370644,0.00434335,-1.76682,-0.185034,0.657671,6.22588,918.372,0,0,0
0.118,0,-6.99897e-05,-0.000101708,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000374879,0.0042352,-1.7239,-0.156566,0.889399,6.24217,916.848,0,0,0
0.119,0,-7.00721e-05,-8.23633e-05,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000379003,0.00412475,-1.68005,-0.11762,1.08289,6.25782,915.155,0,0,0
